player1|player2|
prarthana|computer|
poojith|computer|
vikas|computer|
su|computer|
1|computer|
jk|computer|
poo|vik|
poo|loo|
jojojoj|computer|
lllll|computer|
ddd|computer|
dded|computer|
1|computer|
ec|computer|
gfg|computer|
te|computer|
poojith|vikas|
vikas|computer|
poojith|x|
ggss|gsggs|
harsha|bhuvi|
bhuvi|computer|
albatross|prophet|
dilip|computer|
123|456|
plplp|computer|
u|u|
p|computer|
poojih|vikas|
jk|computer|
q|computer|
p|computer|
q|computer|
poojith|computer|
poojith|harish|
j|m|
kl|computer|
